Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.025	0.22079804176140985	2
1	1	0.025	-0.24220025772355144	2
1	3	0.025	5.443652464732682	2
1	4	0.025	3.3870181879084393	2
1	5	0.025	5.644149327597063	2
1	6	0.025	5.899922660922021	2
1	7	0.025	5.842593918182035	2
1	8	0.025	5.475811527543422	2
1	9	0.025	5.258505035105207	2
2	1	0.025	-7.61332025610951	0
2	2	0.025	-7.441442131593959	0
2	3	0.025	-7.640929957474758	0
2	4	0.025	-7.440920332789201	0
2	5	0.025	-6.9141474498688105	0
2	6	0.025	-7.346235487170574	0
2	7	0.025	-7.504830141043394	0
2	8	0.025	-7.932147247729293	0
2	9	0.025	-7.56906082145338	0
3	0	0.025	-6.244115640016513	4
3	1	0.025	-6.260158092607012	4
3	2	0.025	-6.136685800368725	4
3	3	0.025	-6.298697685847235	4
3	5	0.025	-6.15843333948467	4
3	6	0.025	-6.203497107586066	4
3	7	0.025	-5.821548287515962	4
3	8	0.025	-6.302568443233973	4
3	9	0.025	-1.6385288116523917	4
4	0	0.025	4.475878737441319	8
4	1	0.025	0.15655429575227256	8
4	2	0.025	-0.07480486036739491	8
4	3	0.025	2.676702797474084	8
4	4	0.025	-0.07901234001485546	8
4	5	0.025	6.1098978745908665	8
4	6	0.025	6.181758995861604	8
4	7	0.025	0.44060036592198704	8
4	9	0.025	4.241064767949615	8
5	0	0.025	3.7037822187270195	7
5	1	0.025	-1.0173318743912694	7
5	2	0.025	2.6971484880067766	7
5	3	0.025	4.750080962921892	7
5	4	0.025	-0.7530020390365175	7
5	5	0.025	-0.030228579499154196	7
5	6	0.025	-1.5748077740888216	7
5	8	0.025	-1.5474653393075397	7
5	9	0.025	4.676298958653479	7
6	0	0.025	-2.653159789446064	6
6	1	0.025	-3.7574024188463535	6
6	2	0.025	-4.134241376576501	6
6	3	0.025	-7.533888400082311	6
6	4	0.025	-5.985956218868073	6
6	5	0.025	-4.108442125247049	6
6	7	0.025	-7.438691318380331	6
6	8	0.025	-4.381594294280017	6
6	9	0.025	-2.356741767386075	6
7	1	0.025	-7.614288765130917	0
7	2	0.025	-7.441941242855819	0
7	3	0.025	-7.64203441418785	0
7	4	0.025	-7.443374493053177	0
7	5	0.025	-7.101545076397119	0
7	6	0.025	-7.541330577680796	0
7	7	0.025	-7.504493510384512	0
7	8	0.025	-7.941330076440684	0
7	9	0.025	-7.569596005393805	0
8	0	0.025	-6.850549846700764	6
8	1	0.025	-7.387596416128146	6
8	2	0.025	-7.225340992035246	6
8	3	0.025	-7.41642791674562	6
8	4	0.025	-7.189751909419931	6
8	5	0.025	-6.414613828106035	6
8	7	0.025	-7.3016437837941135	6
8	8	0.025	-3.2891366331242975	6
8	9	0.025	-7.3405685847052276	6
9	0	0.025	-0.029608886679544196	3
9	1	0.025	0.012478916102067084	3
9	2	0.025	1.3904899319348765	3
9	4	0.025	0.1519298090394061	3
9	5	0.025	7.447213677529532	3
9	6	0.025	0.0061886839647356685	3
9	7	0.025	0.1068521392592838	3
9	8	0.025	5.523384939610906	3
9	9	0.025	-0.002860781677920797	3
10	0	0.025	-7.556280456704482	1
10	2	0.025	-4.239012142788942	1
10	3	0.025	-5.790895314952689	1
10	4	0.025	-7.388119411125236	1
10	5	0.025	-6.859787650578481	1
10	6	0.025	-2.543387529117565	1
10	7	0.025	-7.252378314256163	1
10	8	0.025	-7.6694570308300305	1
10	9	0.025	-7.527928962070152	1
12	1	0.025	-7.614135133478166	0
12	2	0.025	-7.435596269347426	0
12	3	0.025	-7.637765072646943	0
12	4	0.025	-7.445809932548496	0
12	5	0.025	-7.457563388239361	0
12	6	0.025	-7.027229854792105	0
12	7	0.025	-7.50549066574406	0
12	8	0.025	-6.9031152802536235	0
12	9	0.025	-7.569988689678395	0
13	0	0.025	-5.503035656907409	7
13	1	0.025	-6.793023768182462	7
13	2	0.025	-3.867863868593409	7
13	3	0.025	-0.5668271063007115	7
13	4	0.025	-6.445868027560429	7
13	5	0.025	-0.6355604739454722	7
13	6	0.025	-6.84924301259849	7
13	8	0.025	-6.77705442067371	7
13	9	0.025	-1.1767027382240907	7
14	0	0.025	-7.570444705193529	9
14	1	0.025	-7.589606460879032	9
14	2	0.025	-7.4566549774639155	9
14	3	0.025	-7.634864980265166	9
14	4	0.025	-7.306575306892938	9
14	5	0.025	-7.440522599516908	9
14	6	0.025	-7.545497602073168	9
14	7	0.025	-6.088368937240333	9
14	8	0.025	-7.619783276935138	9
15	0	0.025	-6.591020286046804	8
15	1	0.025	-6.578859572928664	8
15	2	0.025	-6.389202035147735	8
15	3	0.025	-6.595174679516912	8
15	4	0.025	-6.414068082058998	8
15	5	0.025	-6.360690051289931	8
15	6	0.025	-6.54927180683652	8
15	7	0.025	-6.485510904585804	8
15	9	0.025	-4.869897934646169	8
16	0	0.025	-7.365844498338423	4
16	1	0.025	-7.418794958820743	4
16	2	0.025	-7.292310493507278	4
16	3	0.025	-7.45172435584799	4
16	5	0.025	-7.334175755520036	4
16	6	0.025	-7.326300139274604	4
16	7	0.025	-7.19080962591333	4
16	8	0.025	-7.3851287466430975	4
16	9	0.025	-7.265022418131991	4
17	0	0.025	-5.156192544104351	5
17	1	0.025	-7.137648030935085	5
17	2	0.025	-7.547683258956083	5
17	3	0.025	-7.736546614932831	5
17	4	0.025	-7.3539710238767935	5
17	6	0.025	-5.211846933350163	5
17	7	0.025	-6.7695058929896526	5
17	8	0.025	-7.888227516742699	5
17	9	0.025	-7.5605573793708185	5
18	0	0.025	2.4305609959786634	3
18	1	0.025	1.8742729456287934	3
18	2	0.025	-3.026442191748128	3
18	4	0.025	-3.212506590097146	3
18	5	0.025	-0.23543128600174604	3
18	6	0.025	-0.12604608171398435	3
18	7	0.025	-2.5290565392562234	3
18	8	0.025	-3.3755102771734578	3
18	9	0.025	0.78860715700276	3
19	0	0.025	-7.394406712478402	4
19	1	0.025	-6.034031625306182	4
19	2	0.025	-7.267755642158962	4
19	3	0.025	-7.312136642774047	4
19	5	0.025	-7.309369461927142	4
19	6	0.025	-7.353407014962429	4
19	7	0.025	-4.985581153843725	4
19	8	0.025	-4.982838471667397	4
19	9	0.025	-1.1826087158931862	4
20	1	0.025	0.03446902397838252	0
20	2	0.025	2.585614499445363	0
20	3	0.025	2.483793677274138	0
20	4	0.025	0.6206883723241682	0
20	5	0.025	7.466051117337592	0
20	6	0.025	1.832653642915231	0
20	7	0.025	2.813859798010585	0
20	8	0.025	6.829256186880188	0
20	9	0.025	4.781152996008497	0
21	0	0.025	-7.5092498390317415	6
21	1	0.025	-7.533430927151732	6
21	2	0.025	-7.392207830778104	6
21	3	0.025	-7.566945441205173	6
21	4	0.025	-2.559902787719011	6
21	5	0.025	-3.550529924281807	6
21	7	0.025	-7.450633162587975	6
21	8	0.025	-7.638748883717151	6
21	9	0.025	-2.398099407985918	6
22	0	0.025	-6.413652929894466	6
22	1	0.025	-5.73312867398759	6
22	2	0.025	-3.0945245355159834	6
22	3	0.025	-1.1456550007456847	6
22	4	0.025	-1.895405732969475	6
22	5	0.025	-0.3786093828642261	6
22	7	0.025	-3.862917656651676	6
22	8	0.025	-0.5560991413256797	6
22	9	0.025	0.4731178151960117	6
23	0	0.025	0.8796249434216457	3
23	1	0.025	3.9392894511431655	3
23	2	0.025	4.914284918375666	3
23	4	0.025	0.13790441312649007	3
23	5	0.025	7.3678983578966575	3
23	6	0.025	-0.016941123100674704	3
23	7	0.025	0.08531607218086197	3
23	8	0.025	-0.13026478918064327	3
23	9	0.025	5.598338387111311	3
24	1	0.025	-7.612542781101926	0
24	2	0.025	-6.424169108746023	0
24	3	0.025	-7.633873346667854	0
24	4	0.025	-7.442498840435773	0
24	5	0.025	-7.453300747327755	0
24	6	0.025	-6.513683232903395	0
24	7	0.025	-7.502987168990934	0
24	8	0.025	-7.926012341087724	0
24	9	0.025	-7.567619472911439	0
25	0	0.025	-7.327351068123376	2
25	1	0.025	-5.521004953451629	2
25	3	0.025	-7.510964449239663	2
25	4	0.025	-7.423133757917195	2
25	5	0.025	-7.495848760295898	2
25	6	0.025	-7.263874104813788	2
25	7	0.025	-7.514758821017324	2
25	8	0.025	-7.807459202956613	2
25	9	0.025	-7.574596777673091	2
26	0	0.025	-7.553346524185832	3
26	1	0.025	-7.516040160589038	3
26	2	0.025	-7.3561989122447375	3
26	4	0.025	-7.380540764063637	3
26	5	0.025	-7.369040054667285	3
26	6	0.025	-7.531948379116076	3
26	7	0.025	-7.476717375965128	3
26	8	0.025	-7.767954987961853	3
26	9	0.025	-7.52013087165801	3
27	0	0.025	-6.702851180347041	6
27	1	0.025	-1.6859778640649503	6
27	2	0.025	-2.2596543193977663	6
27	3	0.025	-6.190903611338893	6
27	4	0.025	-6.474831894333282	6
27	5	0.025	-5.496726913876603	6
27	7	0.025	-6.652076641771509	6
27	8	0.025	-3.9132509824539454	6
27	9	0.025	-6.692365365633506	6
28	0	0.025	-7.522436047572908	6
28	1	0.025	-7.543796175219776	6
28	2	0.025	-7.393466276960093	6
28	3	0.025	-7.58334539775359	6
28	4	0.025	-7.354484703230507	6
28	5	0.025	-7.255147474857713	6
28	7	0.025	-7.47806811442163	6
28	8	0.025	-7.856491321200912	6
28	9	0.025	-7.510166212141015	6
29	0	0.025	3.8628009067875246	7
29	1	0.025	0.3231257568523398	7
29	2	0.025	4.4712489552045	7
29	3	0.025	4.035497194553229	7
29	4	0.025	1.2755098660798343	7
29	5	0.025	-0.3283119520797768	7
29	6	0.025	3.019753976769953	7
29	8	0.025	3.373993688330527	7
29	9	0.025	5.8335552587907005	7
30	0	0.025	-7.381669739949608	4
30	1	0.025	-7.41913391697192	4
